Cam Newton,None,QB,304.9/527.1,3794.9,28,13.1,125.1,679.6,5.6,0,0,0,348.3
Aaron Rodgers,P,QB,355.4/561.5,4205.1,32.2,7.6,51.2,238.2,1.5,0,0,0,317.8
Drew Brees,None,QB,440.4/657.7,4783.1,31.3,15.4,21.7,35.1,0.9,0,0,0,307.4
Ben Roethlisberger,None,QB,376/573.8,4556.8,28.3,13,27.8,66.6,0.7,0,0,0,295.3
Eli Manning,None,QB,381.8/609.7,4557.7,30.6,15.4,20.8,37.7,0.4,0,0,0,288.3
Carson Palmer,None,QB,346.2/568.5,4335.7,29.4,16.3,24.6,48.6,1,0,0,0,280.3
Ryan Fitzpatrick,None,QB,337.8/552.7,3878.1,25.6,15.6,56.8,249.2,2,0,0,0,275
Andy Dalton,None,QB,324.5/514.2,3792.4,24.9,12.9,62.9,232.8,2.6,0,0,0,274.1
Tony Romo,None,QB,349/521.4,4133.4,27.8,12.2,25.9,55.9,0.6,0,0,0,270.8
Derek Carr,None,QB,349.7/585,3792.5,30.9,13.3,30.6,81.8,0.7,0,0,0,266.7
Brock Osweiler,None,QB,341.7/555.2,4057.9,24.3,15.1,50.7,123.1,1.5,0,0,0,260
Matt Ryan,None,QB,410.4/620.2,4504.5,22.1,16.4,30.8,95.3,0.8,0,0,0,258.8
Marcus Mariota,None,QB,295.8/468.9,3413.6,19.1,13,70.3,355.3,2.6,0,0,0,240.5
Tom Brady,SSPD,QB,303/477.9,3376.1,25.3,7,27.4,21.6,1.5,0,0,0,238.7
Todd Gurley,None,RB,0/0,0,0,0,297.8,1323.1,10.5,38.5,309.1,0.9,227.6
Julio Jones,None,WR,0/0,0,0,0,0,0,0,126.9,1763.2,7.3,218.3
Ezekiel Elliott,P,RB,0/0,0,0,0,266.3,1159.2,8.6,48.8,414.1,1.7,215.9
Jamaal Charles,P,RB,0/0,0,0,0,218.7,1121.6,8.4,46.8,392.2,2.2,207.4
Odell Beckham Jr.,None,WR,0/0,0,0,0,0,0,0,100.5,1504.7,9.3,205.5
Devonta Freeman,None,RB,0/0,0,0,0,232.2,926.1,6.7,69.1,549.5,2.3,199.1
Russell Wilson,None,QB,299.8/476.7,3746.9,29.8,9.9,95.5,494.6,2.6,0,0,0,319
Andrew Luck,None,QB,357/616.1,4275.7,32.5,19.1,64.8,265.1,1.7,0,0,0,314.2
Kirk Cousins,None,QB,390.4/601.8,4554.2,29.6,13.4,37.9,117.2,1.3,0,0,0,297.4
Matthew Stafford,None,QB,412.8/635,4656.3,25,13.8,39.6,135.9,1.9,0,0,0,294
Philip Rivers,None,QB,405.1/617,4495.9,28.1,15.2,23,61.2,0.5,0,0,0,282.7
Tyrod Taylor,None,QB,274.4/451.6,3240.9,21.2,12,112,576.8,4.4,0,0,0,278.9
Blake Bortles,None,QB,326.8/576.6,3899.1,27.7,16.2,50.5,261,1.3,0,0,0,274.5
Jameis Winston,None,QB,314.8/545.5,3772.3,25,15.2,59.3,258.9,2.6,0,0,0,273.2
Alex Smith,None,QB,326.4/502.4,3667.7,19.2,7.5,69.3,398,2.5,0,0,0,268.3
Ryan Tannehill,None,QB,374.3/607,4268,23.7,12.4,34.4,130.8,1,0,0,0,264.6
Joe Flacco,P,QB,375.6/625.7,4220.1,25.4,16.4,27.1,46.3,1.2,0,0,0,259.8
Antonio Brown,None,WR,0/0,0,0,0,3.9,25.1,0.1,133,1764.8,10,244.6
Jay Cutler,None,QB,320.4/499.1,3792.9,22.4,14,38.6,137.7,0.9,0,0,0,240.1
Teddy Bridgewater,P,QB,312.6/484.6,3481.8,19,10.6,46.5,215.3,2.3,0,0,0,234.8
Adrian Peterson,None,RB,0/0,0,0,0,300.3,1394.6,9.9,29.4,227.3,0.8,220.3
David Johnson,None,RB,0/0,0,0,0,251.1,1037.8,8.2,58.3,530.8,2.6,217.4
LeSean McCoy,None,RB,0/0,0,0,0,272.5,1198.2,8.5,45.7,338.8,1.7,212.4
Lamar Miller,None,RB,0/0,0,0,0,280.5,1235,7.2,43.8,325.3,1.3,205.6
Robert Griffin,None,QB,243/383.1,2891.4,15.2,9.5,59.5,356.5,1.6,0,0,0,201.3
Mark Ingram,None,RB,0/0,0,0,0,234.7,977.6,8.5,56.4,391.6,1.8,196.1
DeAndre Hopkins,None,WR,0/0,0,0,0,0,0,0,101.3,1439.4,8.3,193.3
Sam Bradford,None,QB,279.9/448,3098.2,16.6,10.1,23.3,60.5,0.9,0,0,0,185.2
Le'Veon Bell,SSPD,RB,0/0,0,0,0,199.4,872,5.9,52.2,447.3,2.2,181.8
Dez Bryant,None,WR,0/0,0,0,0,0,0,0,86,1231.2,9.8,181.4
Brandon Marshall,None,WR,0/0,0,0,0,0,0,0,96.9,1280,8.6,178.2
Carlos Hyde,None,RB,0/0,0,0,0,255.2,1025.4,7.1,33.9,242.1,0.9,172.5
Rob Gronkowski,P,TE,0/0,0,0,0,0,0,0,77.8,1139.7,9.3,170.4
Blaine Gabbert,None,QB,247.1/410.7,2798.5,13.7,13,40.2,139.2,1,0,0,0,167.5
Eric Decker,P,WR,0/0,0,0,0,0,0,0,86.5,1145.2,8.3,164.5
Mike Evans,None,WR,0/0,0,0,0,0,0,0,77.5,1163.7,7.9,163.5
T.Y. Hilton,P,WR,0/0,0,0,0,1.8,11.5,0,74.5,1184.3,6.9,160.7
Jonathan Stewart,None,RB,0/0,0,0,0,236.7,1021.7,6.5,20.1,148.9,0.6,157.3
Thomas Rawls,P,RB,0/0,0,0,0,222.5,1034.9,5.7,17.9,143.4,1,156.3
Amari Cooper,None,WR,0/0,0,0,0,3.7,23.6,0.1,81.3,1069,7.1,152.6
Jeremy Maclin,None,WR,0/0,0,0,0,3.8,24,0.2,86.6,1160.6,5.2,149.7
Jeremy Hill,None,RB,0/0,0,0,0,222.3,910.5,7.1,19,141.9,0.8,148.2
Stephen Gostkowski,None,K,0/0,0,0,0,0,0,0,0,0,0,146.8
Randall Cobb,None,WR,0/0,0,0,0,16.1,73.7,0.4,78.7,942.6,6.9,145.8
Julian Edelman,None,WR,0/0,0,0,0,7.8,48.5,0.2,91.7,980.7,6.8,144.9
Matt Jones,Q,RB,Q,0/0,0,0,0,222.8,888.7,5.1,26.2,256.1,1.1,143.6
Doug Martin,P,RB,0/0,0,0,0,268.8,1196.8,6.6,31.8,246.6,1,186.3
C.J. Anderson,None,RB,0/0,0,0,0,246.2,1098.2,7.4,30.3,243,0.9,182.2
A.J. Green,None,WR,0/0,0,0,0,0,0,0,87.8,1290.3,8.8,181.5
Allen Robinson,None,WR,0/0,0,0,0,0,0,0,82.9,1314.4,8.3,180.8
Alshon Jeffery,None,WR,0/0,0,0,0,0,0,0,88.7,1281.8,7.9,174.8
Jordy Nelson,Q,WR,Q,0/0,0,0,0,0,0,0,80,1216.8,8.3,171.2
Eddie Lacy,None,RB,0/0,0,0,0,240.8,1035.9,6.4,29.1,235.5,1.3,169
DeMarco Murray,None,RB,0/0,0,0,0,229.4,1001.7,7.6,25.3,192.8,0.6,166.5
Sammy Watkins,None,WR,0/0,0,0,0,2.3,14.2,0.1,73.1,1163.5,7.6,164.3
Latavius Murray,None,RB,0/0,0,0,0,229.6,973.4,5.5,33.4,237.8,1.6,160.9
Keenan Allen,None,WR,0/0,0,0,0,0,0,0,105.9,1199.9,6.3,158.1
Frank Gore,None,RB,0/0,0,0,0,222.2,900.2,5.6,32.6,276.9,1.4,156.8
Brandin Cooks,None,WR,0/0,0,0,0,7.8,48.4,0.3,88.4,1066.6,6.6,152.8
Matt Forte,P,RB,0/0,0,0,0,187.5,770.1,4.3,48,402.3,1.5,150.9
Demaryius Thomas,None,WR,0/0,0,0,0,0,0,0,86.2,1114.5,6.4,148.8
Jarvis Landry,None,WR,0/0,0,0,0,14.2,59.5,0.4,106,1048.1,5.5,147
Ryan Mathews,None,RB,0/0,0,0,0,204.6,927.2,6.1,25.3,186.4,0.5,146.5
Adam Vinatieri,None,K,0/0,0,0,0,0,0,0,0,0,0,145.3
Rashad Jennings,None,RB,0/0,0,0,0,194.8,853,4.8,32,254.5,1,143.9
Jeremy Langford,None,RB,0/0,0,0,0,187.9,758.1,5.5,34.4,307.2,1.1,143.4
Steven Hauschka,None,K,0/0,0,0,0,0,0,0,0,0,0,143.2
Donte Moncrief,None,WR,0/0,0,0,0,0,0,0,77.2,962.5,7.8,142.4
Dion Lewis,O,RB,0/0,0,0,0,120.9,509.3,3.6,66.5,590,2.4,142.2
Golden Tate,None,WR,0/0,0,0,0,7.1,45.2,0.2,87.7,1030.6,5.1,139.6
Larry Fitzgerald,Q,WR,Q,0/0,0,0,0,0,0,0,84.4,967.6,6.9,137.8
Marvin Jones,None,WR,0/0,0,0,0,0,0,0,72.4,1033.6,5.7,137
Emmanuel Sanders,None,WR,0/0,0,0,0,4.2,26.9,0.1,76.9,1065.3,4.3,136.6
Giovani Bernard,None,RB,0/0,0,0,0,152.6,654.9,3.9,49.5,410.3,1.3,136.5
Josh Brown,SSPD,K,0/0,0,0,0,0,0,0,0,0,0,136
Blair Walsh,None,K,0/0,0,0,0,0,0,0,0,0,0,135.8
Melvin Gordon,None,RB,0/0,0,0,0,238.6,914.1,3.9,33.1,218.4,1.1,135.3
Greg Olsen,P,TE,0/0,0,0,0,0,0,0,75.6,962.2,6.3,133.9
Jared Goff,None,QB,220.3/374.7,2485.1,10.4,10.9,10.3,40.7,0.4,0,0,0,132.6
Mason Crosby,None,K,0/0,0,0,0,0,0,0,0,0,0,132.3
DeVante Parker,None,WR,0/0,0,0,0,0,0,0,67.4,980,5.7,132.1
DeSean Jackson,None,WR,0/0,0,0,0,0,0,0,57.2,1015.2,4.6,129.6
Graham Gano,None,K,0/0,0,0,0,0,0,0,0,0,0,127.1
Chandler Catanzaro,None,K,0/0,0,0,0,0,0,0,0,0,0,125.4
Michael Crabtree,None,WR,0/0,0,0,0,0,0,0,72.5,821.5,7.1,124.5
Torrey Smith,None,WR,0/0,0,0,0,0,0,0,56.8,971.4,4.5,124
Jordan Reed,P,TE,0/0,0,0,0,0,0,0,90.4,935.6,8.5,142.9
Doug Baldwin,None,WR,0/0,0,0,0,0,0,0,75.2,994.5,7.1,142.3
Ameer Abdullah,P,RB,0/0,0,0,0,187.1,800.2,4.7,37.2,294,1.2,139.6
Arian Foster,None,RB,0/0,0,0,0,170.9,726.7,5.2,35.6,290.5,1.4,137.8
Danny Woodhead,None,RB,0/0,0,0,0,100,402.4,2.2,69.4,610.4,3.7,137.1
John Brown,P,WR,0/0,0,0,0,4.2,25.9,0.1,64.9,978.2,6,137
Jordan Matthews,Q,WR,Q,0/0,0,0,0,0,0,0,84.4,1016.7,6,136.5
Michael Floyd,None,WR,0/0,0,0,0,0,0,0,61,959.8,6.7,136.5
Dan Bailey,None,K,0/0,0,0,0,0,0,0,0,0,0,135.9
Roberto Aguayo,None,K,0/0,0,0,0,0,0,0,0,0,0,135.7
Kelvin Benjamin,None,WR,0/0,0,0,0,0,0,0,64.2,863.9,8.1,134.8
Duke Johnson Jr.,None,RB,0/0,0,0,0,151.3,614.1,3.6,52.4,416.1,1.5,132.7
Justin Tucker,None,K,0/0,0,0,0,0,0,0,0,0,0,132.4
Chris Boswell,None,K,0/0,0,0,0,0,0,0,0,0,0,132.2
Tyler Lockett,None,WR,0/0,0,0,0,4.5,28.3,0.1,57.3,861.3,6.1,131.8
