Aaron Rodgers,16,4314,34,7,257,2,0,0,0,1,3,328.26
Cam Newton,16,3748,26,15,624,5,0,0,0,0,4,308.32
Drew Brees,16,4974,32,16,69,1,0,0,0,1,3,303.86
Russell Wilson,16,3966,25,13,523,2,0,0,0,0,4,288.94
Andrew Luck,16,4281,28,17,329,2,0,0,0,1,4,288.14
Philip Rivers,16,4429,32,16,65,1,0,0,0,1,3,281.66
Ben Roethlisberger,16,4409,30,14,49,1,0,0,0,1,3,275.26
Carson Palmer,16,4471,32,17,46,0,0,0,0,1,3,273.44
Blake Bortles,16,3987,27,19,355,2,0,0,0,1,3,272.98
Jameis Winston,16,4044,26,20,257,3,0,0,0,1,3,265.46
Alex Smith,16,3733,22,11,451,2,0,0,0,0,4,264.42
Kirk Cousins,16,4180,27,15,110,2,0,0,0,1,3,264.20
Andy Dalton,16,4022,23,14,329,2,0,0,0,0,4,261.78
Tyrod Taylor,16,3235,22,11,483,3,0,0,0,0,3,255.70
Joe Flacco,16,3972,26,14,102,2,0,0,0,1,3,253.08
Derek Carr,16,4116,28,17,104,1,0,0,0,0,3,253.04
Tony Romo,16,4140,29,14,51,0,0,0,0,0,3,252.70
Matthew Stafford,16,3909,26,17,239,1,0,0,0,1,3,252.26
Eli Manning,16,4255,27,16,70,0,0,0,0,1,3,249.20
Matt Ryan,16,4157,25,16,111,1,0,0,0,1,4,245.38
Todd Gurley,16,5,0,0,1316,13,310,1,0,0,1,244.80
David Johnson,16,0,0,0,1140,9,586,3,0,0,2,240.60
Ezekiel Elliott,16,0,0,0,1294,10,383,2,0,0,0,239.70
Marcus Mariota,16,3556,23,14,260,1,0,0,0,0,3,232.24
Ryan Tannehill,16,3775,23,17,206,1,0,0,0,1,4,229.60
Jamaal Charles,16,0,0,0,1158,8,476,3,0,0,2,225.40
Lamar Miller,16,0,0,0,1283,9,347,2,0,0,2,225.00
Sam Bradford,16,3743,25,15,52,1,0,0,0,1,4,224.92
Jay Cutler,16,3813,23,17,130,1,0,0,0,0,3,223.52
Tom Brady,12,3289,24,10,126,1,0,0,0,0,2,222.16
Antonio Brown,16,0,0,0,0,0,1601,10,0,0,1,218.10
Eddie Lacy,16,0,0,0,1256,8,360,2,0,0,2,217.60
Colin Kaepernick,16,3141,18,14,430,2,0,0,0,0,4,216.64
Adrian Peterson,16,0,0,0,1243,11,236,1,0,0,2,215.90
Devonta Freeman,16,0,0,0,997,7,601,3,0,0,3,213.80
Mark Ingram,16,0,0,0,1083,8,522,1,0,0,2,210.50
Teddy Bridgewater,16,3218,21,13,143,1,0,0,0,0,3,201.02
Le'Veon Bell,12,0,0,0,1032,7,458,2,0,0,1,201.00
LeSean McCoy,16,0,0,0,1173,6,331,3,0,0,2,200.40
Brock Osweiler,16,3497,20,16,110,1,0,0,0,0,3,198.88
Matt Forte,16,0,0,0,958,7,397,3,0,0,2,191.50
Mark Sanchez,16,3367,18,14,125,1,0,0,0,0,3,191.18
Doug Martin,16,0,0,0,1240,7,224,1,0,0,2,190.40
Odell Beckham,16,0,0,0,0,0,1383,9,0,0,1,190.30
C.J. Anderson,16,0,0,0,1056,8,319,1,0,0,2,187.50
A.J. Green,16,0,0,0,0,0,1381,8,0,0,1,184.10
Dez Bryant,16,0,0,0,0,0,1175,11,0,0,0,183.50
Julio Jones,16,0,0,0,0,0,1372,8,0,0,1,183.20
Keenan Allen,16,0,0,0,0,0,1339,8,0,0,1,179.90
Case Keenum,16,3126,18,15,91,1,0,0,0,0,3,176.14
Jordy Nelson,16,0,0,0,0,0,1211,9,0,0,1,173.10
Latavius Murray,16,5,0,0,1055,7,278,0,0,0,2,171.50
Dion Lewis,16,0,0,0,577,5,613,4,0,0,1,171.00
Ryan Mathews,16,0,0,0,997,7,253,1,0,0,1,171.00
Thomas Rawls,16,0,0,0,1055,7,213,1,0,0,2,170.80
Allen Robinson,16,0,0,0,0,0,1178,9,0,0,1,169.80
Jeremy Hill,16,0,0,0,981,9,136,1,0,0,2,167.70
Mike Evans,16,0,0,0,0,0,1195,8,0,0,0,167.50
Jonathan Stewart,16,0,0,0,1028,7,201,1,0,0,2,166.90
Amari Cooper,16,0,0,0,0,0,1191,8,0,0,1,165.10
Frank Gore,16,0,0,0,1019,6,251,1,0,0,2,165.00
DeAndre Hopkins,16,0,0,0,0,0,1189,8,0,0,1,164.90
T.Y. Hilton,16,0,0,0,0,0,1233,7,0,0,1,163.30
Carlos Hyde,16,0,0,0,1096,7,157,0,0,0,2,163.30
DeMarco Murray,16,0,0,0,945,7,246,1,0,0,2,163.10
Matt Jones,16,0,0,0,936,6,311,1,0,0,2,162.70
Doug Baldwin,16,0,0,0,0,0,1125,8,0,0,0,160.50
Demaryius Thomas,16,0,0,0,0,0,1123,8,0,0,0,160.30
Donte Moncrief,16,0,0,0,0,0,1108,8,0,0,0,158.80
Eric Decker,16,0,0,0,0,0,1067,9,0,0,1,158.70
Rob Gronkowski,16,0,0,0,0,0,1106,8,0,0,1,156.60
Brandon Marshall,16,0,0,0,0,0,1104,8,0,0,1,156.40
Randall Cobb,16,0,0,0,95,0,984,8,0,0,1,153.90
Danny Woodhead,16,0,0,0,364,3,653,6,0,0,1,153.70
Alshon Jeffery,16,0,0,0,0,0,1135,7,0,0,1,153.50
Michael Floyd,16,0,0,0,0,0,1024,8,0,0,0,150.40
Jeremy Maclin,16,0,0,0,0,0,1102,7,0,0,1,150.20
Jeremy Langford,16,0,0,0,789,5,320,2,0,0,2,148.90
John Brown,16,0,0,0,0,0,1068,7,0,0,0,148.80
Michael Crabtree,16,0,0,0,0,0,1056,7,0,0,0,147.60
Emmanuel Sanders,16,0,0,0,0,0,1122,6,0,0,1,146.20
Julian Edelman,16,0,0,0,44,0,1065,6,0,0,1,144.90
Jordan Reed,16,0,0,0,0,0,1028,7,0,0,0,144.80
Ameer Abdullah,16,0,0,0,835,5,272,1,0,0,1,144.70
Melvin Gordon,16,0,0,0,879,6,187,1,0,0,2,144.60
Sammy Watkins,16,0,0,0,0,0,1043,7,0,0,1,144.30
Duke Johnson,16,0,0,0,623,3,478,3,0,0,1,144.10
Arian Foster,16,0,0,0,603,5,415,2,0,0,0,143.80
Greg Olsen,16,0,0,0,0,0,1028,7,0,0,1,142.80
Tavon Austin,16,0,0,0,490,3,597,3,0,0,1,142.70
Rashad Jennings,16,0,0,0,879,4,287,1,0,0,2,142.60
Brandin Cooks,16,0,0,0,27,0,980,7,0,0,1,140.70
Torrey Smith,16,0,0,0,0,0,1042,6,0,0,0,140.20
Stefon Diggs,16,0,0,0,0,0,972,7,0,0,0,139.20
Kelvin Benjamin,16,0,0,0,0,0,981,7,0,0,1,138.10
Jarvis Landry,16,0,0,0,93,0,1008,5,0,0,1,138.10
Justin Forsett,16,0,0,0,815,5,240,1,0,0,2,137.50
Charles Sims,16,0,0,0,497,2,587,3,0,0,1,136.40
DeSean Jackson,16,0,0,0,0,0,1016,6,0,0,1,135.60
Kamar Aiken,16,0,0,0,0,0,924,7,0,0,0,134.40
Giovani Bernard,16,0,0,0,601,3,461,2,0,0,1,134.20
Chris Ivory,16,0,0,0,872,6,134,0,0,0,2,132.60
Travis Kelce,16,0,0,0,0,0,963,6,0,0,0,132.30
Laquon Treadwell,16,0,0,0,0,0,840,8,0,0,0,132.00
Jordan Matthews,16,0,0,0,0,0,898,7,0,0,0,131.80
T.J. Yeldon,16,0,0,0,702,4,311,1,0,0,0,131.30
Coby Fleener,16,0,0,0,0,0,885,7,0,0,0,130.50
Mike Wallace,16,0,0,0,0,0,877,7,0,0,0,129.70
Tyler Lockett,16,0,0,0,0,0,896,7,0,0,1,129.60
Marvin Jones,16,5,0,0,48,0,948,5,0,0,1,127.80
Theo Riddick,16,0,0,0,225,2,683,4,0,0,0,126.80
Isaiah Crowell,16,0,0,0,813,6,112,0,0,0,1,126.50
Delanie Walker,16,0,0,0,0,0,965,5,0,0,0,126.50
Jay Ajayi,16,0,0,0,733,5,169,1,0,0,0,126.20
Golden Tate,16,5,0,0,19,0,953,5,0,0,1,125.40
Travis Benjamin,16,0,0,0,0,0,966,5,0,0,1,124.60
Allen Hurns,16,0,0,0,0,0,885,6,0,0,0,124.50
Larry Fitzgerald,16,0,0,0,0,0,901,6,0,0,1,124.10
Robert Griffin III,16,2190,7,13,333,1,0,0,0,0,3,122.90
LeGarrette Blount,16,0,0,0,850,6,56,0,0,0,2,122.60
Tyler Eifert,16,0,0,0,0,0,788,7,0,0,0,120.80
Josh Gordon,12,0,0,0,0,0,872,5,0,0,0,117.20
Willie Snead,16,0,0,0,0,0,868,5,0,0,0,116.80
Zach Miller,16,0,0,0,0,0,805,6,0,0,0,116.50
Mohamed Sanu,16,0,0,0,64,0,814,5,0,0,1,115.80
Pierre Garcon,16,0,0,0,0,0,851,5,0,0,0,115.10
Sterling Shepard,16,0,0,0,0,0,910,4,0,0,0,115.00
DeVante Parker,16,0,0,0,0,0,849,5,0,0,1,112.90
Nelson Agholor,16,0,0,0,0,0,820,5,0,0,0,112.00
Kevin White,16,0,0,0,0,0,812,5,0,0,0,111.20
Jaelen Strong,16,0,0,0,0,0,745,6,0,0,0,110.50
Derrick Henry,16,0,0,0,602,5,190,0,0,0,0,109.20
Julius Thomas,16,0,0,0,0,0,730,6,0,0,0,109.00
Vincent Jackson,16,0,0,0,0,0,849,4,0,0,0,108.90
Gary Barnidge,16,0,0,0,0,0,720,6,0,0,0,108.00
Bilal Powell,16,0,0,0,506,1,450,1,0,0,0,107.60
Ladarius Green,16,0,0,0,0,0,712,6,0,0,0,107.20
Brandon LaFell,16,0,0,0,0,0,769,5,0,0,1,104.90
Dwayne Allen,16,0,0,0,0,0,672,6,0,0,0,103.20
Martellus Bennett,16,0,0,0,0,0,749,5,0,0,1,102.90
James Starks,16,0,0,0,513,3,291,1,0,0,1,102.40
Robert Woods,16,0,0,0,0,0,723,5,0,0,0,102.30
Antonio Gates,16,0,0,0,0,0,719,5,0,0,0,101.90
Corey Coleman,16,0,0,0,0,0,716,5,0,0,0,101.60
Jason Witten,16,0,0,0,0,0,736,5,0,0,1,101.60
Terrance Williams,16,0,0,0,0,0,702,5,0,0,0,100.20
Victor Cruz,16,0,0,0,0,0,720,5,0,0,1,100.00
Zach Ertz,16,0,0,0,0,0,746,4,0,0,0,98.60
DeAngelo Williams,16,0,0,0,597,3,167,1,0,0,1,98.40
Devin Funchess,16,0,0,0,0,0,679,5,0,0,0,97.90
Rishard Matthews,16,0,0,0,0,0,736,4,0,0,0,97.60
Jared Cook,16,0,0,0,0,0,607,6,0,0,0,96.70
Charles Clay,16,0,0,0,0,0,662,5,0,0,0,96.20
Darren Sproles,16,0,0,0,338,2,390,2,0,0,1,94.80
Kenny Britt,16,0,0,0,0,0,763,3,0,0,0,94.30
Kendall Wright,16,0,0,0,0,0,696,4,0,0,0,93.60
Jermaine Kearse,16,0,0,0,0,0,690,4,0,0,0,93.00
Dorial Green-Beckham,16,0,0,0,0,0,628,5,0,0,0,92.80
Albert Wilson,16,0,0,0,0,0,674,4,0,0,0,91.40
Bruce Ellington,16,0,0,0,0,0,692,4,0,0,1,91.20
Clive Walford,16,0,0,0,0,0,640,4,0,0,0,88.00
Shane Vereen,16,0,0,0,288,1,421,2,0,0,1,86.90
Kyle Rudolph,16,0,0,0,0,0,561,5,0,0,0,86.10
Cameron Brate,16,0,0,0,0,0,620,4,0,0,0,86.00
Jimmy Graham,16,0,0,0,0,0,613,4,0,0,0,85.30
Cole Beasley,16,0,0,0,0,0,631,4,0,0,1,85.10
Sammie Coates,16,0,0,0,0,0,640,3,0,0,0,82.00
Shaun Draughn,16,0,0,0,297,1,315,2,0,0,0,79.20
